{'word': '/export/fhome/jcomes/WLASL1/data/WLASL2000'} /export/fhome/jcomes/WLASL1/WLASL/I3D/preprocess/nslt_100.json
bs=3_ups=1_lr=0.001_eps=0.001_wd=1e-07
Skipped videos:  0
1780
Skipped videos:  0
258

=== Epoch 1 ===
  [Batch 20/594] Avg Loss: 4.6086 | Acc so far: 3.33% | F1 so far: 0.0022
  [Batch 30/594] Avg Loss: 4.6077 | Acc so far: 2.22% | F1 so far: 0.0010
  [Batch 40/594] Avg Loss: 4.6081 | Acc so far: 1.67% | F1 so far: 0.0005
  [Batch 50/594] Avg Loss: 4.6079 | Acc so far: 1.33% | F1 so far: 0.0004
  [Batch 60/594] Avg Loss: 4.6085 | Acc so far: 1.11% | F1 so far: 0.0003
  [Batch 70/594] Avg Loss: 4.6086 | Acc so far: 1.43% | F1 so far: 0.0005
  [Batch 80/594] Avg Loss: 4.6061 | Acc so far: 1.67% | F1 so far: 0.0007
  [Batch 90/594] Avg Loss: 4.6036 | Acc so far: 1.48% | F1 so far: 0.0005
  [Batch 100/594] Avg Loss: 4.6062 | Acc so far: 1.33% | F1 so far: 0.0004
  [Batch 110/594] Avg Loss: 4.6049 | Acc so far: 1.52% | F1 so far: 0.0005
  [Batch 120/594] Avg Loss: 4.6059 | Acc so far: 1.67% | F1 so far: 0.0006
  [Batch 130/594] Avg Loss: 4.6054 | Acc so far: 1.79% | F1 so far: 0.0007
  [Batch 140/594] Avg Loss: 4.6055 | Acc so far: 1.90% | F1 so far: 0.0008
  [Batch 150/594] Avg Loss: 4.6061 | Acc so far: 1.78% | F1 so far: 0.0007
  [Batch 160/594] Avg Loss: 4.6071 | Acc so far: 1.67% | F1 so far: 0.0006
  [Batch 170/594] Avg Loss: 4.6062 | Acc so far: 1.96% | F1 so far: 0.0012
  [Batch 180/594] Avg Loss: 4.6061 | Acc so far: 2.04% | F1 so far: 0.0012
  [Batch 190/594] Avg Loss: 4.6064 | Acc so far: 1.93% | F1 so far: 0.0011
  [Batch 200/594] Avg Loss: 4.6071 | Acc so far: 1.83% | F1 so far: 0.0010
  [Batch 210/594] Avg Loss: 4.6070 | Acc so far: 1.75% | F1 so far: 0.0009
  [Batch 220/594] Avg Loss: 4.6068 | Acc so far: 1.82% | F1 so far: 0.0010
  [Batch 230/594] Avg Loss: 4.6078 | Acc so far: 1.88% | F1 so far: 0.0012
  [Batch 240/594] Avg Loss: 4.6085 | Acc so far: 1.81% | F1 so far: 0.0010
  [Batch 250/594] Avg Loss: 4.6076 | Acc so far: 1.87% | F1 so far: 0.0012
  [Batch 260/594] Avg Loss: 4.6074 | Acc so far: 1.79% | F1 so far: 0.0011
  [Batch 270/594] Avg Loss: 4.6080 | Acc so far: 1.73% | F1 so far: 0.0010
  [Batch 280/594] Avg Loss: 4.6075 | Acc so far: 1.79% | F1 so far: 0.0010
  [Batch 290/594] Avg Loss: 4.6071 | Acc so far: 1.84% | F1 so far: 0.0011
  [Batch 300/594] Avg Loss: 4.6075 | Acc so far: 1.78% | F1 so far: 0.0011
  [Batch 310/594] Avg Loss: 4.6075 | Acc so far: 1.83% | F1 so far: 0.0011
  [Batch 320/594] Avg Loss: 4.6074 | Acc so far: 1.88% | F1 so far: 0.0012
  [Batch 330/594] Avg Loss: 4.6076 | Acc so far: 1.82% | F1 so far: 0.0011
  [Batch 340/594] Avg Loss: 4.6079 | Acc so far: 1.76% | F1 so far: 0.0011
  [Batch 350/594] Avg Loss: 4.6080 | Acc so far: 1.90% | F1 so far: 0.0012
  [Batch 360/594] Avg Loss: 4.6085 | Acc so far: 1.85% | F1 so far: 0.0011
  [Batch 370/594] Avg Loss: 4.6085 | Acc so far: 1.89% | F1 so far: 0.0012
  [Batch 380/594] Avg Loss: 4.6086 | Acc so far: 1.93% | F1 so far: 0.0012
  [Batch 390/594] Avg Loss: 4.6082 | Acc so far: 1.88% | F1 so far: 0.0012
  [Batch 400/594] Avg Loss: 4.6075 | Acc so far: 2.00% | F1 so far: 0.0013
  [Batch 410/594] Avg Loss: 4.6084 | Acc so far: 1.95% | F1 so far: 0.0013
  [Batch 420/594] Avg Loss: 4.6088 | Acc so far: 1.98% | F1 so far: 0.0013
  [Batch 430/594] Avg Loss: 4.6084 | Acc so far: 2.02% | F1 so far: 0.0014
  [Batch 440/594] Avg Loss: 4.6082 | Acc so far: 2.05% | F1 so far: 0.0014
  [Batch 450/594] Avg Loss: 4.6085 | Acc so far: 2.07% | F1 so far: 0.0014
  [Batch 460/594] Avg Loss: 4.6091 | Acc so far: 2.03% | F1 so far: 0.0014
  [Batch 470/594] Avg Loss: 4.6092 | Acc so far: 2.06% | F1 so far: 0.0015
  [Batch 480/594] Avg Loss: 4.6089 | Acc so far: 2.01% | F1 so far: 0.0014
  [Batch 490/594] Avg Loss: 4.6086 | Acc so far: 2.04% | F1 so far: 0.0014
  [Batch 500/594] Avg Loss: 4.6088 | Acc so far: 2.13% | F1 so far: 0.0016
  [Batch 510/594] Avg Loss: 4.6084 | Acc so far: 2.22% | F1 so far: 0.0017
  [Batch 520/594] Avg Loss: 4.6085 | Acc so far: 2.18% | F1 so far: 0.0017
  [Batch 530/594] Avg Loss: 4.6084 | Acc so far: 2.14% | F1 so far: 0.0016
  [Batch 540/594] Avg Loss: 4.6083 | Acc so far: 2.22% | F1 so far: 0.0017
  [Batch 550/594] Avg Loss: 4.6082 | Acc so far: 2.18% | F1 so far: 0.0017
  [Batch 560/594] Avg Loss: 4.6089 | Acc so far: 2.14% | F1 so far: 0.0016
  [Batch 570/594] Avg Loss: 4.6093 | Acc so far: 2.16% | F1 so far: 0.0017
  [Batch 580/594] Avg Loss: 4.6095 | Acc so far: 2.13% | F1 so far: 0.0016
  [Batch 590/594] Avg Loss: 4.6100 | Acc so far: 2.09% | F1 so far: 0.0015
Train - Loss: 4.6100 | Acc: 2.08% | F1: 0.0015
Val   - Loss: 4.6004 | Acc: 1.94% | F1: 0.0011
Best model saved: /export/fhome/jcomes/WLASL1/WLASL/I3D/checkpoints/best_model_epoch_2_v6.pth

=== Epoch 3 ===
  [Batch 10/594] Avg Loss: 4.6083 | Acc so far: 3.33% | F1 so far: 0.0044
  [Batch 20/594] Avg Loss: 4.5974 | Acc so far: 5.00% | F1 so far: 0.0077
  [Batch 30/594] Avg Loss: 4.5965 | Acc so far: 3.33% | F1 so far: 0.0030
  [Batch 40/594] Avg Loss: 4.5911 | Acc so far: 3.33% | F1 so far: 0.0030
  [Batch 50/594] Avg Loss: 4.5892 | Acc so far: 3.33% | F1 so far: 0.0028
  [Batch 60/594] Avg Loss: 4.5923 | Acc so far: 3.33% | F1 so far: 0.0033
  [Batch 70/594] Avg Loss: 4.5938 | Acc so far: 2.86% | F1 so far: 0.0025
  [Batch 80/594] Avg Loss: 4.5938 | Acc so far: 2.50% | F1 so far: 0.0020
  [Batch 90/594] Avg Loss: 4.5966 | Acc so far: 3.33% | F1 so far: 0.0030
  [Batch 100/594] Avg Loss: 4.6034 | Acc so far: 3.00% | F1 so far: 0.0024
  [Batch 110/594] Avg Loss: 4.6006 | Acc so far: 2.73% | F1 so far: 0.0020
  [Batch 120/594] Avg Loss: 4.6046 | Acc so far: 2.50% | F1 so far: 0.0017
  [Batch 130/594] Avg Loss: 4.6011 | Acc so far: 2.82% | F1 so far: 0.0021
  [Batch 140/594] Avg Loss: 4.6059 | Acc so far: 2.62% | F1 so far: 0.0018
  [Batch 150/594] Avg Loss: 4.6066 | Acc so far: 2.44% | F1 so far: 0.0018
  [Batch 160/594] Avg Loss: 4.6082 | Acc so far: 2.50% | F1 so far: 0.0019
  [Batch 170/594] Avg Loss: 4.6130 | Acc so far: 2.35% | F1 so far: 0.0017
  [Batch 180/594] Avg Loss: 4.6100 | Acc so far: 2.41% | F1 so far: 0.0017
  [Batch 190/594] Avg Loss: 4.6134 | Acc so far: 2.28% | F1 so far: 0.0018
  [Batch 200/594] Avg Loss: 4.6147 | Acc so far: 2.17% | F1 so far: 0.0016
  [Batch 210/594] Avg Loss: 4.6150 | Acc so far: 2.06% | F1 so far: 0.0014
  [Batch 220/594] Avg Loss: 4.6168 | Acc so far: 2.42% | F1 so far: 0.0018
  [Batch 230/594] Avg Loss: 4.6178 | Acc so far: 2.32% | F1 so far: 0.0017
  [Batch 240/594] Avg Loss: 4.6170 | Acc so far: 2.22% | F1 so far: 0.0016
  [Batch 250/594] Avg Loss: 4.6174 | Acc so far: 2.27% | F1 so far: 0.0016
  [Batch 260/594] Avg Loss: 4.6179 | Acc so far: 2.18% | F1 so far: 0.0015
  [Batch 270/594] Avg Loss: 4.6184 | Acc so far: 2.10% | F1 so far: 0.0014
  [Batch 280/594] Avg Loss: 4.6173 | Acc so far: 2.02% | F1 so far: 0.0014
  [Batch 290/594] Avg Loss: 4.6178 | Acc so far: 1.95% | F1 so far: 0.0013
  [Batch 300/594] Avg Loss: 4.6172 | Acc so far: 1.89% | F1 so far: 0.0012
  [Batch 310/594] Avg Loss: 4.6169 | Acc so far: 1.83% | F1 so far: 0.0011
  [Batch 320/594] Avg Loss: 4.6157 | Acc so far: 1.77% | F1 so far: 0.0011
  [Batch 330/594] Avg Loss: 4.6144 | Acc so far: 2.02% | F1 so far: 0.0014
  [Batch 340/594] Avg Loss: 4.6144 | Acc so far: 2.16% | F1 so far: 0.0015
  [Batch 350/594] Avg Loss: 4.6142 | Acc so far: 2.19% | F1 so far: 0.0016
  [Batch 360/594] Avg Loss: 4.6136 | Acc so far: 2.13% | F1 so far: 0.0016
  [Batch 370/594] Avg Loss: 4.6133 | Acc so far: 2.07% | F1 so far: 0.0016
  [Batch 380/594] Avg Loss: 4.6123 | Acc so far: 2.11% | F1 so far: 0.0017
  [Batch 390/594] Avg Loss: 4.6133 | Acc so far: 2.14% | F1 so far: 0.0017
  [Batch 400/594] Avg Loss: 4.6134 | Acc so far: 2.08% | F1 so far: 0.0016
  [Batch 410/594] Avg Loss: 4.6147 | Acc so far: 2.20% | F1 so far: 0.0017
  [Batch 420/594] Avg Loss: 4.6148 | Acc so far: 2.22% | F1 so far: 0.0017
  [Batch 430/594] Avg Loss: 4.6157 | Acc so far: 2.17% | F1 so far: 0.0017
  [Batch 440/594] Avg Loss: 4.6149 | Acc so far: 2.20% | F1 so far: 0.0017
  [Batch 450/594] Avg Loss: 4.6150 | Acc so far: 2.15% | F1 so far: 0.0017
  [Batch 460/594] Avg Loss: 4.6158 | Acc so far: 2.10% | F1 so far: 0.0016
  [Batch 470/594] Avg Loss: 4.6152 | Acc so far: 2.13% | F1 so far: 0.0016
  [Batch 480/594] Avg Loss: 4.6151 | Acc so far: 2.08% | F1 so far: 0.0016
  [Batch 490/594] Avg Loss: 4.6146 | Acc so far: 2.04% | F1 so far: 0.0015
  [Batch 500/594] Avg Loss: 4.6142 | Acc so far: 2.00% | F1 so far: 0.0015
  [Batch 510/594] Avg Loss: 4.6145 | Acc so far: 1.96% | F1 so far: 0.0014
  [Batch 520/594] Avg Loss: 4.6152 | Acc so far: 1.92% | F1 so far: 0.0014
  [Batch 530/594] Avg Loss: 4.6144 | Acc so far: 1.95% | F1 so far: 0.0015
  [Batch 540/594] Avg Loss: 4.6148 | Acc so far: 1.91% | F1 so far: 0.0014
  [Batch 550/594] Avg Loss: 4.6152 | Acc so far: 1.88% | F1 so far: 0.0014
  [Batch 560/594] Avg Loss: 4.6149 | Acc so far: 1.85% | F1 so far: 0.0014
  [Batch 570/594] Avg Loss: 4.6154 | Acc so far: 1.81% | F1 so far: 0.0013
  [Batch 580/594] Avg Loss: 4.6156 | Acc so far: 1.78% | F1 so far: 0.0013
  [Batch 590/594] Avg Loss: 4.6151 | Acc so far: 1.81% | F1 so far: 0.0013
Train - Loss: 4.6150 | Acc: 1.80% | F1: 0.0013
Val   - Loss: 4.6035 | Acc: 1.55% | F1: 0.0005
No improvement for 1 epochs

=== Epoch 4 ===
  [Batch 10/594] Avg Loss: 4.5668 | Acc so far: 3.33% | F1 so far: 0.0025
  [Batch 20/594] Avg Loss: 4.6041 | Acc so far: 1.67% | F1 so far: 0.0006
  [Batch 30/594] Avg Loss: 4.6046 | Acc so far: 1.11% | F1 so far: 0.0003
  [Batch 40/594] Avg Loss: 4.6062 | Acc so far: 0.83% | F1 so far: 0.0002
  [Batch 50/594] Avg Loss: 4.5914 | Acc so far: 0.67% | F1 so far: 0.0001
  [Batch 60/594] Avg Loss: 4.6013 | Acc so far: 0.56% | F1 so far: 0.0001
  [Batch 70/594] Avg Loss: 4.5990 | Acc so far: 0.48% | F1 so far: 0.0001
  [Batch 80/594] Avg Loss: 4.5943 | Acc so far: 1.25% | F1 so far: 0.0022
  [Batch 90/594] Avg Loss: 4.6031 | Acc so far: 1.11% | F1 so far: 0.0015
  [Batch 100/594] Avg Loss: 4.6072 | Acc so far: 1.00% | F1 so far: 0.0011
  [Batch 110/594] Avg Loss: 4.6104 | Acc so far: 1.21% | F1 so far: 0.0017
  [Batch 120/594] Avg Loss: 4.6085 | Acc so far: 1.11% | F1 so far: 0.0013
  [Batch 130/594] Avg Loss: 4.6102 | Acc so far: 1.03% | F1 so far: 0.0013
  [Batch 140/594] Avg Loss: 4.6122 | Acc so far: 0.95% | F1 so far: 0.0011
  [Batch 150/594] Avg Loss: 4.6112 | Acc so far: 0.89% | F1 so far: 0.0010
  [Batch 160/594] Avg Loss: 4.6142 | Acc so far: 0.83% | F1 so far: 0.0009
  [Batch 170/594] Avg Loss: 4.6141 | Acc so far: 0.78% | F1 so far: 0.0008
  [Batch 180/594] Avg Loss: 4.6141 | Acc so far: 0.74% | F1 so far: 0.0008
  [Batch 190/594] Avg Loss: 4.6119 | Acc so far: 1.23% | F1 so far: 0.0013
  [Batch 200/594] Avg Loss: 4.6091 | Acc so far: 1.67% | F1 so far: 0.0017
  [Batch 210/594] Avg Loss: 4.6094 | Acc so far: 1.59% | F1 so far: 0.0016
  [Batch 220/594] Avg Loss: 4.6089 | Acc so far: 1.67% | F1 so far: 0.0016
  [Batch 230/594] Avg Loss: 4.6092 | Acc so far: 1.59% | F1 so far: 0.0015
  [Batch 240/594] Avg Loss: 4.6072 | Acc so far: 1.67% | F1 so far: 0.0018
  [Batch 250/594] Avg Loss: 4.6076 | Acc so far: 1.60% | F1 so far: 0.0017
  [Batch 260/594] Avg Loss: 4.6058 | Acc so far: 1.67% | F1 so far: 0.0019
  [Batch 270/594] Avg Loss: 4.6076 | Acc so far: 1.60% | F1 so far: 0.0018
  [Batch 280/594] Avg Loss: 4.6072 | Acc so far: 1.67% | F1 so far: 0.0018
  [Batch 290/594] Avg Loss: 4.6053 | Acc so far: 1.84% | F1 so far: 0.0020
  [Batch 300/594] Avg Loss: 4.6046 | Acc so far: 1.78% | F1 so far: 0.0019
  [Batch 310/594] Avg Loss: 4.6047 | Acc so far: 1.83% | F1 so far: 0.0019
  [Batch 320/594] Avg Loss: 4.6038 | Acc so far: 1.77% | F1 so far: 0.0018
  [Batch 330/594] Avg Loss: 4.6060 | Acc so far: 1.82% | F1 so far: 0.0019
  [Batch 340/594] Avg Loss: 4.6070 | Acc so far: 1.86% | F1 so far: 0.0019
  [Batch 350/594] Avg Loss: 4.6078 | Acc so far: 1.81% | F1 so far: 0.0018
  [Batch 360/594] Avg Loss: 4.6088 | Acc so far: 1.76% | F1 so far: 0.0017
  [Batch 370/594] Avg Loss: 4.6097 | Acc so far: 1.80% | F1 so far: 0.0017
  [Batch 380/594] Avg Loss: 4.6098 | Acc so far: 1.84% | F1 so far: 0.0018
  [Batch 390/594] Avg Loss: 4.6103 | Acc so far: 1.88% | F1 so far: 0.0018
  [Batch 400/594] Avg Loss: 4.6118 | Acc so far: 1.83% | F1 so far: 0.0017
  [Batch 410/594] Avg Loss: 4.6134 | Acc so far: 1.79% | F1 so far: 0.0017
  [Batch 420/594] Avg Loss: 4.6137 | Acc so far: 1.75% | F1 so far: 0.0016
  [Batch 430/594] Avg Loss: 4.6132 | Acc so far: 1.71% | F1 so far: 0.0016
  [Batch 440/594] Avg Loss: 4.6135 | Acc so far: 1.74% | F1 so far: 0.0016
  [Batch 450/594] Avg Loss: 4.6134 | Acc so far: 1.78% | F1 so far: 0.0016
  [Batch 460/594] Avg Loss: 4.6132 | Acc so far: 1.88% | F1 so far: 0.0017
  [Batch 470/594] Avg Loss: 4.6141 | Acc so far: 1.84% | F1 so far: 0.0017
  [Batch 480/594] Avg Loss: 4.6134 | Acc so far: 1.81% | F1 so far: 0.0016
  [Batch 490/594] Avg Loss: 4.6140 | Acc so far: 1.77% | F1 so far: 0.0016
  [Batch 500/594] Avg Loss: 4.6148 | Acc so far: 1.73% | F1 so far: 0.0015
  [Batch 510/594] Avg Loss: 4.6150 | Acc so far: 1.70% | F1 so far: 0.0015
  [Batch 520/594] Avg Loss: 4.6149 | Acc so far: 1.67% | F1 so far: 0.0015
  [Batch 530/594] Avg Loss: 4.6146 | Acc so far: 1.70% | F1 so far: 0.0015
  [Batch 540/594] Avg Loss: 4.6141 | Acc so far: 1.67% | F1 so far: 0.0015
  [Batch 550/594] Avg Loss: 4.6143 | Acc so far: 1.64% | F1 so far: 0.0015
  [Batch 560/594] Avg Loss: 4.6137 | Acc so far: 1.61% | F1 so far: 0.0014
  [Batch 570/594] Avg Loss: 4.6135 | Acc so far: 1.64% | F1 so far: 0.0015
  [Batch 580/594] Avg Loss: 4.6140 | Acc so far: 1.61% | F1 so far: 0.0014
  [Batch 590/594] Avg Loss: 4.6132 | Acc so far: 1.58% | F1 so far: 0.0014
Train - Loss: 4.6131 | Acc: 1.63% | F1: 0.0015
Val   - Loss: 4.6235 | Acc: 0.78% | F1: 0.0004
No improvement for 2 epochs

=== Epoch 5 ===
  [Batch 10/594] Avg Loss: 4.6143 | Acc so far: 0.00% | F1 so far: 0.0000
  [Batch 20/594] Avg Loss: 4.5697 | Acc so far: 8.33% | F1 so far: 0.0154
  [Batch 30/594] Avg Loss: 4.5719 | Acc so far: 5.56% | F1 so far: 0.0066
  [Batch 40/594] Avg Loss: 4.5828 | Acc so far: 5.00% | F1 so far: 0.0052
  [Batch 50/594] Avg Loss: 4.5982 | Acc so far: 4.00% | F1 so far: 0.0033
  [Batch 60/594] Avg Loss: 4.5982 | Acc so far: 4.44% | F1 so far: 0.0040
  [Batch 70/594] Avg Loss: 4.5993 | Acc so far: 3.81% | F1 so far: 0.0029
  [Batch 80/594] Avg Loss: 4.5973 | Acc so far: 3.75% | F1 so far: 0.0028
  [Batch 90/594] Avg Loss: 4.6009 | Acc so far: 3.33% | F1 so far: 0.0022
  [Batch 100/594] Avg Loss: 4.6024 | Acc so far: 3.00% | F1 so far: 0.0018
  [Batch 110/594] Avg Loss: 4.5992 | Acc so far: 3.03% | F1 so far: 0.0018
  [Batch 120/594] Avg Loss: 4.6011 | Acc so far: 3.06% | F1 so far: 0.0019
  [Batch 130/594] Avg Loss: 4.5980 | Acc so far: 2.82% | F1 so far: 0.0016
  [Batch 140/594] Avg Loss: 4.6035 | Acc so far: 2.62% | F1 so far: 0.0014
  [Batch 150/594] Avg Loss: 4.6062 | Acc so far: 2.67% | F1 so far: 0.0014
  [Batch 160/594] Avg Loss: 4.6094 | Acc so far: 2.50% | F1 so far: 0.0012
  [Batch 170/594] Avg Loss: 4.6076 | Acc so far: 2.35% | F1 so far: 0.0011
  [Batch 180/594] Avg Loss: 4.6110 | Acc so far: 2.22% | F1 so far: 0.0010
  [Batch 190/594] Avg Loss: 4.6121 | Acc so far: 2.28% | F1 so far: 0.0010
  [Batch 200/594] Avg Loss: 4.6120 | Acc so far: 2.17% | F1 so far: 0.0009
  [Batch 210/594] Avg Loss: 4.6145 | Acc so far: 2.06% | F1 so far: 0.0008
  [Batch 220/594] Avg Loss: 4.6149 | Acc so far: 1.97% | F1 so far: 0.0008
  [Batch 230/594] Avg Loss: 4.6135 | Acc so far: 2.03% | F1 so far: 0.0008
  [Batch 240/594] Avg Loss: 4.6144 | Acc so far: 1.94% | F1 so far: 0.0008
  [Batch 250/594] Avg Loss: 4.6164 | Acc so far: 1.87% | F1 so far: 0.0007
  [Batch 260/594] Avg Loss: 4.6165 | Acc so far: 1.92% | F1 so far: 0.0007
  [Batch 270/594] Avg Loss: 4.6170 | Acc so far: 1.85% | F1 so far: 0.0007
  [Batch 280/594] Avg Loss: 4.6176 | Acc so far: 1.79% | F1 so far: 0.0006
  [Batch 290/594] Avg Loss: 4.6165 | Acc so far: 1.84% | F1 so far: 0.0007
  [Batch 300/594] Avg Loss: 4.6170 | Acc so far: 1.78% | F1 so far: 0.0006
  [Batch 310/594] Avg Loss: 4.6159 | Acc so far: 1.83% | F1 so far: 0.0007
  [Batch 320/594] Avg Loss: 4.6160 | Acc so far: 1.77% | F1 so far: 0.0006
  [Batch 330/594] Avg Loss: 4.6160 | Acc so far: 1.72% | F1 so far: 0.0006
  [Batch 340/594] Avg Loss: 4.6163 | Acc so far: 1.67% | F1 so far: 0.0006
  [Batch 350/594] Avg Loss: 4.6145 | Acc so far: 1.81% | F1 so far: 0.0006
  [Batch 360/594] Avg Loss: 4.6135 | Acc so far: 1.94% | F1 so far: 0.0007
  [Batch 370/594] Avg Loss: 4.6143 | Acc so far: 1.89% | F1 so far: 0.0007
  [Batch 380/594] Avg Loss: 4.6142 | Acc so far: 1.84% | F1 so far: 0.0007
  [Batch 390/594] Avg Loss: 4.6132 | Acc so far: 1.97% | F1 so far: 0.0008
  [Batch 400/594] Avg Loss: 4.6143 | Acc so far: 1.92% | F1 so far: 0.0007
