Skipped videos:  0
1780
Skipped videos:  0
258
Epoch 039 - Val   Loss: 4.5708 | Acc: 1.55% | F1: 0.0005
Epoch 040 - Train Loss: 4.5798 | Acc: 2.02% | F1: 0.0008
Epoch 040 - Val   Loss: 4.5705 | Acc: 1.55% | F1: 0.0005
Epoch 041 - Train Loss: 4.5848 | Acc: 2.02% | F1: 0.0008
Epoch 041 - Val   Loss: 4.5734 | Acc: 1.55% | F1: 0.0005
Epoch 042 - Train Loss: 4.5783 | Acc: 2.02% | F1: 0.0008
Epoch 042 - Val   Loss: 4.5713 | Acc: 1.55% | F1: 0.0005
Epoch 043 - Train Loss: 4.5800 | Acc: 2.02% | F1: 0.0008
Epoch 043 - Val   Loss: 4.5694 | Acc: 1.55% | F1: 0.0005
Epoch 044 - Train Loss: 4.5814 | Acc: 2.02% | F1: 0.0008
Epoch 044 - Val   Loss: 4.5694 | Acc: 1.55% | F1: 0.0005
Epoch 045 - Train Loss: 4.5827 | Acc: 2.02% | F1: 0.0008
Epoch 045 - Val   Loss: 4.5716 | Acc: 1.55% | F1: 0.0005
Epoch 046 - Train Loss: 4.5860 | Acc: 2.02% | F1: 0.0008
Epoch 046 - Val   Loss: 4.5723 | Acc: 1.55% | F1: 0.0005
Epoch 047 - Train Loss: 4.5850 | Acc: 2.02% | F1: 0.0008
Epoch 047 - Val   Loss: 4.5704 | Acc: 1.55% | F1: 0.0005
Epoch 048 - Train Loss: 4.5822 | Acc: 2.02% | F1: 0.0008
Epoch 048 - Val   Loss: 4.5694 | Acc: 1.55% | F1: 0.0005
Epoch 049 - Train Loss: 4.5820 | Acc: 2.02% | F1: 0.0008
Epoch 049 - Val   Loss: 4.5724 | Acc: 1.55% | F1: 0.0005
Epoch 050 - Train Loss: 4.5811 | Acc: 2.02% | F1: 0.0008
Epoch 050 - Val   Loss: 4.5699 | Acc: 1.55% | F1: 0.0005
Epoch 051 - Train Loss: 4.5843 | Acc: 2.02% | F1: 0.0008
Epoch 051 - Val   Loss: 4.5718 | Acc: 1.55% | F1: 0.0005
Epoch 052 - Train Loss: 4.5804 | Acc: 2.02% | F1: 0.0008
Epoch 052 - Val   Loss: 4.5705 | Acc: 1.55% | F1: 0.0005
Epoch 053 - Train Loss: 4.5763 | Acc: 2.02% | F1: 0.0008
Epoch 053 - Val   Loss: 4.5713 | Acc: 1.55% | F1: 0.0005
Epoch 054 - Train Loss: 4.5803 | Acc: 2.02% | F1: 0.0008
Epoch 054 - Val   Loss: 4.5677 | Acc: 1.55% | F1: 0.0005
Epoch 055 - Train Loss: 4.5824 | Acc: 2.02% | F1: 0.0008
Epoch 055 - Val   Loss: 4.5719 | Acc: 1.55% | F1: 0.0005
Epoch 056 - Train Loss: 4.5809 | Acc: 2.02% | F1: 0.0008
Epoch 056 - Val   Loss: 4.5733 | Acc: 1.55% | F1: 0.0005
Epoch 057 - Train Loss: 4.5843 | Acc: 2.02% | F1: 0.0008
Epoch 057 - Val   Loss: 4.5717 | Acc: 1.55% | F1: 0.0005
Epoch 058 - Train Loss: 4.5787 | Acc: 2.02% | F1: 0.0008
Epoch 058 - Val   Loss: 4.5689 | Acc: 1.55% | F1: 0.0005
Epoch 059 - Train Loss: 4.5807 | Acc: 2.02% | F1: 0.0008
Epoch 059 - Val   Loss: 4.5688 | Acc: 1.55% | F1: 0.0005
Epoch 060 - Train Loss: 4.5784 | Acc: 2.02% | F1: 0.0008
Epoch 060 - Val   Loss: 4.5694 | Acc: 1.55% | F1: 0.0005
Epoch 061 - Train Loss: 4.5824 | Acc: 2.02% | F1: 0.0008
Epoch 061 - Val   Loss: 4.5710 | Acc: 1.55% | F1: 0.0005
Epoch 062 - Train Loss: 4.5833 | Acc: 2.02% | F1: 0.0008
Epoch 062 - Val   Loss: 4.5721 | Acc: 1.55% | F1: 0.0005
Epoch 063 - Train Loss: 4.5766 | Acc: 2.02% | F1: 0.0008
Epoch 063 - Val   Loss: 4.5730 | Acc: 1.55% | F1: 0.0005
Epoch 064 - Train Loss: 4.5792 | Acc: 2.02% | F1: 0.0008
Epoch 064 - Val   Loss: 4.5707 | Acc: 1.55% | F1: 0.0005
Epoch 065 - Train Loss: 4.5791 | Acc: 2.02% | F1: 0.0008
Epoch 065 - Val   Loss: 4.5708 | Acc: 1.55% | F1: 0.0005
Epoch 066 - Train Loss: 4.5805 | Acc: 2.02% | F1: 0.0008
Epoch 066 - Val   Loss: 4.5718 | Acc: 1.55% | F1: 0.0005
Epoch 067 - Train Loss: 4.5815 | Acc: 2.02% | F1: 0.0008
Epoch 067 - Val   Loss: 4.5700 | Acc: 1.55% | F1: 0.0005
Epoch 068 - Train Loss: 4.5796 | Acc: 2.02% | F1: 0.0008
Epoch 068 - Val   Loss: 4.5706 | Acc: 1.55% | F1: 0.0005
Epoch 069 - Train Loss: 4.5823 | Acc: 2.02% | F1: 0.0008
Epoch 069 - Val   Loss: 4.5702 | Acc: 1.55% | F1: 0.0005
Epoch 070 - Train Loss: 4.5842 | Acc: 2.02% | F1: 0.0008
Epoch 070 - Val   Loss: 4.5689 | Acc: 1.55% | F1: 0.0005
Epoch 071 - Train Loss: 4.5823 | Acc: 2.02% | F1: 0.0008
Epoch 071 - Val   Loss: 4.5695 | Acc: 1.55% | F1: 0.0005
Epoch 072 - Train Loss: 4.5795 | Acc: 2.02% | F1: 0.0008
Epoch 072 - Val   Loss: 4.5707 | Acc: 1.55% | F1: 0.0005
Epoch 073 - Train Loss: 4.5820 | Acc: 2.02% | F1: 0.0008
