{'word': '/export/fhome/jcomes/WLASL1/data/WLASL2000'} /export/fhome/jcomes/WLASL1/WLASL/I3D/preprocess/nslt_100.json
bs=3_ups=1_lr=0.001_eps=0.001_wd=1e-07
Skipped videos:  0
1780
Skipped videos:  0
258

=== Epoch 1 ===
  [Batch 10/594] Avg Loss: 4.5513 | Acc so far: 0.00% | F1 so far: 0.0000
  [Batch 20/594] Avg Loss: 4.6816 | Acc so far: 1.67% | F1 so far: 0.0029
  [Batch 30/594] Avg Loss: 4.6929 | Acc so far: 1.11% | F1 so far: 0.0013
  [Batch 40/594] Avg Loss: 4.6585 | Acc so far: 0.83% | F1 so far: 0.0010
  [Batch 50/594] Avg Loss: 4.6559 | Acc so far: 1.33% | F1 so far: 0.0016
  [Batch 60/594] Avg Loss: 4.6520 | Acc so far: 1.11% | F1 so far: 0.0012
  [Batch 70/594] Avg Loss: 4.6473 | Acc so far: 0.95% | F1 so far: 0.0011
  [Batch 80/594] Avg Loss: 4.6585 | Acc so far: 0.83% | F1 so far: 0.0010
  [Batch 90/594] Avg Loss: 4.6553 | Acc so far: 0.74% | F1 so far: 0.0009
  [Batch 100/594] Avg Loss: 4.6507 | Acc so far: 0.67% | F1 so far: 0.0008
  [Batch 110/594] Avg Loss: 4.6490 | Acc so far: 0.61% | F1 so far: 0.0008
  [Batch 120/594] Avg Loss: 4.6447 | Acc so far: 1.11% | F1 so far: 0.0012
  [Batch 130/594] Avg Loss: 4.6419 | Acc so far: 1.28% | F1 so far: 0.0013
  [Batch 140/594] Avg Loss: 4.6428 | Acc so far: 1.43% | F1 so far: 0.0014
  [Batch 150/594] Avg Loss: 4.6408 | Acc so far: 1.56% | F1 so far: 0.0014
  [Batch 160/594] Avg Loss: 4.6366 | Acc so far: 1.67% | F1 so far: 0.0016
  [Batch 170/594] Avg Loss: 4.6371 | Acc so far: 1.57% | F1 so far: 0.0014
  [Batch 180/594] Avg Loss: 4.6350 | Acc so far: 1.67% | F1 so far: 0.0014
  [Batch 190/594] Avg Loss: 4.6349 | Acc so far: 1.58% | F1 so far: 0.0013
  [Batch 200/594] Avg Loss: 4.6362 | Acc so far: 1.50% | F1 so far: 0.0012
  [Batch 210/594] Avg Loss: 4.6351 | Acc so far: 1.43% | F1 so far: 0.0011
  [Batch 220/594] Avg Loss: 4.6339 | Acc so far: 1.36% | F1 so far: 0.0010
  [Batch 230/594] Avg Loss: 4.6326 | Acc so far: 1.30% | F1 so far: 0.0010
  [Batch 240/594] Avg Loss: 4.6323 | Acc so far: 1.25% | F1 so far: 0.0009
  [Batch 250/594] Avg Loss: 4.6315 | Acc so far: 1.20% | F1 so far: 0.0009
  [Batch 260/594] Avg Loss: 4.6313 | Acc so far: 1.28% | F1 so far: 0.0009
  [Batch 270/594] Avg Loss: 4.6297 | Acc so far: 1.36% | F1 so far: 0.0010
  [Batch 280/594] Avg Loss: 4.6291 | Acc so far: 1.31% | F1 so far: 0.0009
  [Batch 290/594] Avg Loss: 4.6285 | Acc so far: 1.49% | F1 so far: 0.0010
  [Batch 300/594] Avg Loss: 4.6289 | Acc so far: 1.44% | F1 so far: 0.0010
  [Batch 310/594] Avg Loss: 4.6293 | Acc so far: 1.40% | F1 so far: 0.0009
  [Batch 320/594] Avg Loss: 4.6290 | Acc so far: 1.35% | F1 so far: 0.0009
  [Batch 330/594] Avg Loss: 4.6284 | Acc so far: 1.31% | F1 so far: 0.0009
  [Batch 340/594] Avg Loss: 4.6277 | Acc so far: 1.27% | F1 so far: 0.0008
  [Batch 350/594] Avg Loss: 4.6270 | Acc so far: 1.24% | F1 so far: 0.0008
  [Batch 360/594] Avg Loss: 4.6263 | Acc so far: 1.20% | F1 so far: 0.0008
  [Batch 370/594] Avg Loss: 4.6261 | Acc so far: 1.17% | F1 so far: 0.0008
  [Batch 380/594] Avg Loss: 4.6254 | Acc so far: 1.23% | F1 so far: 0.0014
  [Batch 390/594] Avg Loss: 4.6254 | Acc so far: 1.20% | F1 so far: 0.0013
  [Batch 400/594] Avg Loss: 4.6249 | Acc so far: 1.25% | F1 so far: 0.0016
  [Batch 410/594] Avg Loss: 4.6248 | Acc so far: 1.22% | F1 so far: 0.0014
  [Batch 420/594] Avg Loss: 4.6244 | Acc so far: 1.19% | F1 so far: 0.0012
  [Batch 430/594] Avg Loss: 4.6240 | Acc so far: 1.24% | F1 so far: 0.0013
  [Batch 440/594] Avg Loss: 4.6236 | Acc so far: 1.36% | F1 so far: 0.0025
  [Batch 450/594] Avg Loss: 4.6232 | Acc so far: 1.33% | F1 so far: 0.0022
  [Batch 460/594] Avg Loss: 4.6229 | Acc so far: 1.38% | F1 so far: 0.0026
  [Batch 470/594] Avg Loss: 4.6224 | Acc so far: 1.49% | F1 so far: 0.0029
  [Batch 480/594] Avg Loss: 4.6222 | Acc so far: 1.46% | F1 so far: 0.0026
  [Batch 490/594] Avg Loss: 4.6220 | Acc so far: 1.50% | F1 so far: 0.0027
