Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 30/594] Loss: 4.6350 | Cls: 4.6347 | Loc: 4.6353
  [Batch 40/594] Loss: 4.6013 | Cls: 4.6006 | Loc: 4.6019
  [Batch 50/594] Loss: 4.6208 | Cls: 4.6203 | Loc: 4.6213
  [Batch 60/594] Loss: 4.5931 | Cls: 4.5927 | Loc: 4.5935
  [Batch 70/594] Loss: 4.5935 | Cls: 4.5925 | Loc: 4.5946
  [Batch 80/594] Loss: 4.5529 | Cls: 4.5521 | Loc: 4.5536
  [Batch 90/594] Loss: 4.5846 | Cls: 4.5826 | Loc: 4.5866
  [Batch 100/594] Loss: 4.5946 | Cls: 4.5935 | Loc: 4.5957
  [Batch 110/594] Loss: 4.6263 | Cls: 4.6249 | Loc: 4.6276
  [Batch 120/594] Loss: 4.5962 | Cls: 4.5952 | Loc: 4.5972
  [Batch 130/594] Loss: 4.6289 | Cls: 4.6280 | Loc: 4.6299
  [Batch 140/594] Loss: 4.6437 | Cls: 4.6424 | Loc: 4.6450
  [Batch 150/594] Loss: 4.5919 | Cls: 4.5904 | Loc: 4.5933
  [Batch 160/594] Loss: 4.6042 | Cls: 4.6026 | Loc: 4.6058
  [Batch 170/594] Loss: 4.6121 | Cls: 4.6109 | Loc: 4.6132
  [Batch 180/594] Loss: 4.5164 | Cls: 4.5146 | Loc: 4.5183
  [Batch 190/594] Loss: 4.6081 | Cls: 4.6071 | Loc: 4.6090
  [Batch 200/594] Loss: 4.6107 | Cls: 4.6096 | Loc: 4.6117
  [Batch 210/594] Loss: 4.6252 | Cls: 4.6246 | Loc: 4.6258
  [Batch 220/594] Loss: 4.6035 | Cls: 4.6026 | Loc: 4.6044
  [Batch 230/594] Loss: 4.6148 | Cls: 4.6142 | Loc: 4.6153
  [Batch 240/594] Loss: 4.6333 | Cls: 4.6327 | Loc: 4.6340
  [Batch 250/594] Loss: 4.6536 | Cls: 4.6529 | Loc: 4.6544
