Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 130/594] Loss: 4.5105 | Cls: 4.5043 | Loc: 4.5166
  [Batch 140/594] Loss: 4.5106 | Cls: 4.5022 | Loc: 4.5189
  [Batch 150/594] Loss: 4.3191 | Cls: 4.3124 | Loc: 4.3257
  [Batch 160/594] Loss: 4.3905 | Cls: 4.3853 | Loc: 4.3957
  [Batch 170/594] Loss: 4.3233 | Cls: 4.3170 | Loc: 4.3296
  [Batch 180/594] Loss: 4.4658 | Cls: 4.4597 | Loc: 4.4719
  [Batch 190/594] Loss: 4.5410 | Cls: 4.5344 | Loc: 4.5476
  [Batch 200/594] Loss: 4.3402 | Cls: 4.3339 | Loc: 4.3464
  [Batch 210/594] Loss: 4.5508 | Cls: 4.5436 | Loc: 4.5580
  [Batch 220/594] Loss: 4.4488 | Cls: 4.4412 | Loc: 4.4564
  [Batch 230/594] Loss: 4.4426 | Cls: 4.4363 | Loc: 4.4489
  [Batch 240/594] Loss: 4.5015 | Cls: 4.4934 | Loc: 4.5095
  [Batch 250/594] Loss: 4.4625 | Cls: 4.4557 | Loc: 4.4694
  [Batch 260/594] Loss: 4.4434 | Cls: 4.4372 | Loc: 4.4496
  [Batch 270/594] Loss: 4.3432 | Cls: 4.3365 | Loc: 4.3500
  [Batch 280/594] Loss: 4.5176 | Cls: 4.5103 | Loc: 4.5248
  [Batch 290/594] Loss: 4.3347 | Cls: 4.3277 | Loc: 4.3417
  [Batch 300/594] Loss: 4.6276 | Cls: 4.6201 | Loc: 4.6351
  [Batch 310/594] Loss: 4.5594 | Cls: 4.5497 | Loc: 4.5692
  [Batch 320/594] Loss: 4.6427 | Cls: 4.6353 | Loc: 4.6500
  [Batch 330/594] Loss: 4.4239 | Cls: 4.4173 | Loc: 4.4305
  [Batch 340/594] Loss: 4.5958 | Cls: 4.5870 | Loc: 4.6046
  [Batch 350/594] Loss: 4.4378 | Cls: 4.4306 | Loc: 4.4450
  [Batch 360/594] Loss: 4.3318 | Cls: 4.3240 | Loc: 4.3396
  [Batch 370/594] Loss: 4.3911 | Cls: 4.3837 | Loc: 4.3985
  [Batch 380/594] Loss: 4.4134 | Cls: 4.4064 | Loc: 4.4204
  [Batch 390/594] Loss: 4.4474 | Cls: 4.4394 | Loc: 4.4554
  [Batch 400/594] Loss: 4.3555 | Cls: 4.3479 | Loc: 4.3631
  [Batch 410/594] Loss: 4.1842 | Cls: 4.1757 | Loc: 4.1927
  [Batch 420/594] Loss: 4.3093 | Cls: 4.3027 | Loc: 4.3159
  [Batch 430/594] Loss: 4.4732 | Cls: 4.4646 | Loc: 4.4818
  [Batch 440/594] Loss: 4.3064 | Cls: 4.2989 | Loc: 4.3139
  [Batch 450/594] Loss: 4.5985 | Cls: 4.5892 | Loc: 4.6077
  [Batch 460/594] Loss: 4.3157 | Cls: 4.3077 | Loc: 4.3238
